State Code,County Code,pm25,Site Num
1,3,5,10
1,3,5.3,10
1,3,4.5,10
1,3,7.2,10
1,3,3.9,10
1,3,4.6,10
1,3,7,10
1,3,4.2,10
1,3,5.7,10
1,3,3.4,10
1,3,8,10
1,3,9,10
1,3,7.3,10
1,3,7.5,10
1,3,5.2,10
1,3,4.7,10
1,3,3.8,10
1,3,7.9,10
1,3,3.5,10
1,3,10.5,10
1,3,3.9,10
1,3,9.2,10
1,3,5.8,10
1,3,8,10
1,3,11.9,10
1,3,15.4,10
1,3,5.7,10
1,3,4.9,10
1,27,2.6,1
1,27,3.8,1
1,27,9.7,1
1,27,8.7,1
1,27,5.7,1
1,27,2.9,1
1,27,6.3,1
1,27,2.6,1
1,27,11.8,1
1,27,6.2,1
1,27,8.7,1
1,27,4.1,1
1,27,12.5,1
1,27,6.5,1
1,27,17.4,1
1,27,16.3,1
1,27,6.5,1
1,27,13.6,1
1,27,12.4,1
1,27,4,1
1,27,9,1
1,27,6.4,1
1,27,19,1
1,27,15,1
1,27,10,1
1,27,5.6,1
1,27,11.7,1
1,33,5.5,1002
1,33,5.2,1002
1,33,7.9,1002
1,33,4.9,1002
1,33,7.1,1002
1,33,11,1002
1,33,5.4,1002
1,33,3.5,1002
1,33,7.1,1002
1,33,2.8,1002
1,33,8.9,1002
1,33,4.4,1002
1,33,9.9,1002
1,33,4.7,1002
1,33,10.6,1002
1,33,3.5,1002
1,33,14.8,1002
1,33,13.9,1002
1,33,6.3,1002
1,33,9.7,1002
2,33,2.7,1002
2,33,17.8,1002
2,33,4.7,1002
2,33,4.7,1002
2,33,7.5,1002
2,33,6.9,1002
2,33,10.5,1002
2,33,11.8,1002
2,33,5.8,1002
2,33,10,1002
2,49,4.9,1003
2,49,4.2,1003
2,49,4.1,1003
2,49,7.4,1003
2,49,8.2,1003
2,49,12.3,1003
2,49,6.6,1003
2,49,3.3,1003
2,49,7,1003
2,49,2.9,1003
2,49,8.7,1003
2,49,5,1003
2,49,10.4,1003
2,49,6.3,1003
2,49,10.1,1003
2,49,5.8,1003
2,49,14.6,1003
2,49,13.1,1003
2,49,7,1003
2,49,9.6,1003
2,49,8.5,1003
2,49,14.8,1003
2,49,6.8,1003
2,49,4.5,1003
2,49,9.2,1003
2,49,11.3,1003
2,49,9.3,1003
2,49,8.9,1003
2,49,8.1,1003
2,49,9.6,1003
2,55,8.2,10
2,55,5.5,10
2,55,10.9,10
2,55,7,10
2,55,11.9,10
2,55,17.5,10
2,55,10.5,10
2,55,3.9,10
2,55,7.8,10
2,55,3,10
2,55,9.3,10
2,55,5,10
2,55,13.7,10
2,55,4.4,10
2,55,10.9,10
2,55,5.5,10
2,55,16,10
2,55,15.6,10
2,55,7,10
2,55,8.9,10
2,55,3.7,10
2,55,16.7,10
2,55,4.6,10
2,55,3.3,10
2,55,7.1,10
2,55,14,10
2,55,11,10
2,55,8,10
2,55,6.8,10
2,55,14.5,10
2,69,6.4,3
2,69,7.1,3
2,69,11.9,3
2,69,5,3
2,69,7,3
2,69,5.6,3
2,69,5.5,3
2,69,5.6,3
2,69,5,3
2,69,7.7,3
2,69,8.2,3
2,69,12.3,3
2,69,6.2,3
2,69,7.9,3
2,69,6.7,3
2,69,9.6,3
2,69,10.5,3
2,69,6.5,3
2,69,10.2,3
2,69,4.2,3
2,69,18.3,3
2,69,5.2,3
2,69,10.4,3
2,69,3.8,3
2,69,15.2,3
2,69,10.3,3
2,69,13.4,3
2,69,7.1,3
2,69,7.9,3
2,73,3.2,23
2,73,5.9,23
2,73,9.9,23
